SAF_GRG_COD;DCT_ENT_SUP;DCT_ENT_CB2;DCT_ENT_LIB;DCT_GRG_LIB;TEC_COL
90;6;;COMPTABILITE ANNEXE (IDENTIFICATION DES FLUX DE PAIEMENT D ACOMPTE ET DE DE SOLDE DANS LE CADRE D UNE CAISSE PIVOT;SAISIE INTERNE REGIME GENERAL;0
90;84;;PROGRES PE FI;SAISIE INTERNE REGIME GENERAL;0
90;85;;PROGRES PE DSN;SAISIE INTERNE REGIME GENERAL;0
90;86;;PROGRES PE EDI posté;SAISIE INTERNE REGIME GENERAL;0
90;87;;PROGRES PE EDI Machine-Machine;SAISIE INTERNE REGIME GENERAL;0
90;96;;PARTICIPATION FORFAITAIRE;SAISIE INTERNE REGIME GENERAL;0
90;98;;MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
90;7;;REGUL - PN;SAISIE INTERNE REGIME GENERAL;0
99;99;;VALEUR INCONNUE;INCONNU;1
14;27;;PRESTATIONS ESPECES;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;28;;RENTES AT;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;29;;INVALIDITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;50;;FEUILLE DE SOINS + PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;51;;AUXILIAIRES MEDICAUX;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;52;;LABORATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;53;;DENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;54;;TRANSPORTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;55;;APPAREILLAGE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;56;;COMPLEMENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;57;;REGULARISATIONS AUTRES QUE PAIEMENTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;58;;CLINIQUE PRIVEE SEJOURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;59;;VACCIN ANTI GRIPPE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;60;;SAISIE GROUPEE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;61;;CLINIQUE PRIVEE HONORAIRES;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;62;;PAIEMENTS MANUELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;63;;PAIEMENTS MANUELS CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;64;;PAIEMENTS MANUELS NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;65;;PAIEMENTS DE REGULARISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;66;;PAIEMENTS DE REGULARISATION CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;67;;PAIEMENTS DE REGULARISATION NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;68;;PAIEMENT DES FORFAITS MEDECIN REFERENT;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;69;;TARIFICATION A L'ACTIVITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;70;;SAISIE DES HONORAIRES HORS HOSPITALISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;71;;SAISIE DES FACTURES PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;72;;SAISIE DES FACTURES DE FOURNISSEURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;73;;RECYCLAGE DES FACTURES PO + CPL;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;74;;RECYCLAGE DES FACTURES CPL SEULE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;75;;PAIEMENT MANUEL DEROGATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;76;;PAIEMENT MANUEL DEROGATOIRE (SECRET MEDICAL);SAISIE INTERNE : MSA ET PARTENAIRES;0
14;77;;PAIEMENT MANUEL DEROGATOIRE (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
14;78;;PAIEMENT MANUEL PREVENTION;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;79;;PAIEMENT MANUEL PREVENTION (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
14;80;;RECOURS CONTRE TIERS;SAISIE INTERNE : MSA ET PARTENAIRES;0
14;81;;LAD TRANSPORT;SAISIE INTERNE : MSA ET PARTENAIRES;0
