CAM_PRS_IDE_COD;CAM_PRS_IDE_LIB
HHFA030;Coloproctectomie totale sans rétablissement de la continuité, par laparotomie
HHFA029;Coloproctectomie totale sans rétablissement de la continuité, par colioscopie ou par laparotomie avec préparation par colioscopie
HHFA031;Coloproctectomie totale avec anastomose iléoanale, par laparotomie
HHFA028;Coloproctectomie totale avec anastomose iléoanale, par colioscopie ou par laparotomie avec préparation par colioscopie
HHMC001;Rétablissement secondaire de la continuité digestive après colectomie, par colioscopie
HHMA003;Rétablissement secondaire de la continuité digestive après colectomie, par laparotomie
HHFA003;Résection du côlon pour malformation congénitale avec rétablissement de la continuité, par laparotomie
HJND001;Destruction de lésion du rectum, par voie anale
HJFD002;Exérèse de tumeur du rectum, par voie anale
HJFA003;Exérèse de tumeur du rectum, par abord transsphinctérien
HJFA018;Exérèse de tumeur du rectum, par abord transsacrococcygien [de Kraske]
HHGE002;Ablation de corps étranger du côlon et/ou du rectum, par endoscopie
HJGD001;Ablation de corps étranger ou de fécalome intrarectal, par voie anale sous anesthésie générale ou locorégionale
HJCD002;Suture de plaie du rectum par voie anale, sans réparation du muscle sphincter externe de l'anus
HJCD001;Suture de plaie du rectum par voie anale, avec réparation du muscle sphincter externe de l'anus
HJCC001;Suture de plaie ou de perforation intrapéritonéale du rectum, par colioscopie
HJCA001;Suture de plaie ou de perforation intrapéritonéale du rectum, par laparotomie
HJDC001;Rectopexie, par colioscopie
HJDA001;Rectopexie, par laparotomie
HJJA001;Drainage d'une fistule rectovaginale acquise
HJPA001;Mise à plat d'une fistule rectovaginale acquise, par périnéotomie
HJSA001;Fermeture d'une fistule rectovaginale haute ou colovaginale acquise, par laparotomie
HJFA013;Résection d'une fistule rectovaginale acquise, avec fermeture en un temps par suture musculaire et lambeau d'avancement, par abord périnéal
HJMA002;Reconstruction de la paroi antérieure de l'anus et du rectum et de la paroi postérieure du vagin, avec sphinctéroplastie anale, par abord périnéal
HJFC031;Résection rectosigmoïdienne dépassant le cul-de-sac de Douglas, sans rétablissement de la continuité, par colioscopie
HJFA011;Résection rectosigmoïdienne dépassant le cul-de-sac de Douglas, sans rétablissement de la continuité, par laparotomie
HJFA002;Résection rectosigmoïdienne avec anastomose colorectale infrapéritonéale, par laparotomie
HJFA004;Résection rectosigmoïdienne avec anastomose colorectale infrapéritonéale, par colioscopie ou par laparotomie avec préparation par colioscopie
HJFA006;Résection rectosigmoïdienne par laparotomie, avec anastomose coloanale par voie anale ou par abord transsphinctérien
HJFA017;Résection rectosigmoïdienne par colioscopie ou par laparotomie avec préparation par colioscopie, avec anastomose coloanale par voie anale
HJFA001;Résection rectocolique avec abaissement colique rétrorectal par laparotomie, avec anastomose colorectale par voie anale
HJFA005;Amputation du rectum, par abord périnéal
HJFA007;Amputation du rectum, par laparotomie et par abord périnéal
HJFA019;Amputation du rectum, par colioscopie ou par laparotomie avec préparation par colioscopie et par abord périnéal
HJFA014;Exérèse de moignon rectal résiduel, par abord périnéal
HJFC023;Proctectomie secondaire par colioscopie avec anastomose iléoanale par voie transanale, après colectomie totale initiale
HJFA012;Proctectomie secondaire par laparotomie avec anastomose iléoanale par voie transanale, après colectomie totale initiale
HHFA027;Résection complète d'un prolapsus colorectal extériorisé, avec anastomose coloanale et myorraphie du plancher pelvien
HJFA008;Résection circonférentielle de la muqueuse d'un prolapsus rectal et plicature de la musculeuse, par abord périnéal
HJFA009;Résection circonférentielle de la muqueuse d'un prolapsus rectal et plicature de la musculeuse, avec réduction d'hédrocèle par abord périnéal
HJFD004;Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse, par voie anale
HJFD001;Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse par voie anale, avec anoplastie muqueuse postérieure
HJFD005;Résection de la muqueuse rectale avec plicature hémicirconférentielle antérieure de la musculeuse par voie anale, avec hémorroïdectomie pédiculaire
HJFC002;Résection rectosigmoïdienne pour aganglionose congénitale par colioscopie, avec rétablissement de la continuité par voie anale
HJFA020;Résection rectosigmoïdienne pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par voie anale
HJFD003;Résection rectosigmoïdienne pour aganglionose congénitale avec rétablissement de la continuité, par voie anale
HJFC001;Résection rectocolique subtotale pour aganglionose congénitale par colioscopie, avec rétablissement de la continuité par voie anale
HJFA016;Résection rectocolique subtotale pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par laparotomie ou par voie anale
HJFC003;Résection rectocolique totale pour aganglionose congénitale par colioscopie, avec rétablissement de la continuité par voie anale
HJFA015;Résection rectocolique totale pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par laparotomie ou par voie anale
HJFA010;Exérèse de duplication du rectum, par abord transsacrococcygien [de Kraske]
HJBA001;Plicature de la paroi antérieure du rectum, par abord périnéal
HJSD001;Hémostase secondaire à un acte sur le rectum
HKLB001;Injection sclérosante périanale chez l'enfant
HKLB002;Injection sousfissuraire et/ou intrasphinctérienne de l'anus
HJAD001;Dilatation ou incision de sténose anorectale
HKCA004;Suture de plaie de l'anus, sans réparation du muscle sphincter externe de l'anus
HKCA003;Suture de plaie de l'anus, avec réparation du muscle sphincter externe de l'anus
HKMA001;Plastie cutanée de la marge de l'anus
HKCA005;Myorraphie préanale des muscles élévateurs de l'anus
HKCA002;Myorraphie rétroanale des muscles élévateurs de l'anus
HKCA001;Myorraphie préanale et rétroanale des muscles élévateurs de l'anus
HKPA006;Incision d'abcès de la région anale
HKPA005;Mise à plat d'abcès et/ou de fistule intersphinctérien haut [intramural] de l'anus
HKPA007;Mise à plat d'abcès et/ou de fistule haut de l'anus [transsphinctérien supérieur] ou à trajet complexe multiramifié, avec drainage par anse souple
HKPA008;Mise à plat d'abcès et/ou de fistule haut de l'anus [transsphinctérien supérieur] ou à trajet complexe multiramifié, avec lambeau d'avancement
HKPA004;Mise à plat d'abcès et/ou de fistule bas de l'anus [transsphinctérien inférieur] en un temps, par fistulotomie ou fistulectomie
HKPA002;Mise à plat de fistule basse [transsphinctérienne inférieure] de l'anus avec résection d'un paquet hémorroïdaire isolé
HKPA001;Mise à plat de fistule basse [transsphinctérienne inférieure] de l'anus avec hémorroïdectomie pédiculaire par résection sousmuqueuse
HKPA003;Sphinctérotomie interne [Léiomyotomie] latérale de l'anus
HKFA009;Sphinctéromyectomie de l'anus, par abord anal
HKPA009;Sphinctérotomie, sphinctéromyotomie ou sphinctéromyectomie de l'anus, par abord transsacrococcygien [de Kraske]
HKFA002;Résection d'une fissure anale infectée
HKFA004;Excision d'une fissure anale [Fissurectomie anale]
HKFA005;Excision d'une fissure et/ou d'une sténose anale, avec anoplastie muqueuse
HKFA006;Excision d'une fissure anale, avec anoplastie muqueuse et résection d'un paquet hémorroïdaire isolé
HKFA008;Destruction et/ou exérèse de lésion superficielle non tumorale de l'anus
HKND001;Destruction d'une papillomatose extensive de l'anus
HKFA001;Destruction et/ou exérèse de tumeur bénigne du canal anal
HKFA007;Exérèse de tumeur maligne du canal anal et/ou de l'anus
HKMA003;Suture du muscle sphincter externe de l'anus [Sphinctérorraphie anale directe] pour incontinence anale
HKMA002;Suture du muscle sphincter externe de l'anus [Sphinctérorraphie anale directe] pour incontinence anale, avec myorraphie des muscles élévateurs de l'anus
HKMA004;Reconstruction du muscle sphincter externe de l'anus par transposition musculaire unilatérale
HKMA005;Reconstruction du muscle sphincter externe de l'anus par transposition musculaire bilatérale
HKLA002;Pose d'un sphincter anal artificiel
HKGA001;Ablation ou changement d'un sphincter anal artificiel
HKLA001;Implantation d'un électrostimulateur du muscle sphincter externe de l'anus ou d'un lambeau de plastie de ce muscle
HKKA001;Changement d'un électrostimulateur du muscle sphincter externe de l'anus ou d'un lambeau de plastie de ce muscle
HJEA003;Abaissement du rectum pour malformation anorectale haute, par laparotomie et par abord périnéal
HJEA002;Abaissement du rectum pour malformation anorectale haute ou intermédiaire, par abord transsacrococcygien [de Kraske] et par abord périnéal
HJEA004;Abaissement du rectum pour malformation anorectale haute ou intermédiaire, par abord périnéal médian
HJEA001;Abaissement du rectum avec cervicocystoplastie, urétroplastie et vaginoplastie pour malformation anorectale haute, par laparotomie et par abord périnéal
HJMA001;Anoplastie pour malformation anorectale basse
HKMA006;Anoplastie pour malformation anorectale basse, avec transposition de l'anus
HKEA001;Transposition postérieure de l'anus
HTRD001;Séance de rééducation anorectale avec rétrocontrôle [biofeedback] manométrique intracavitaire, sans électrostimulation
HTRD002;Séance de rééducation anorectale avec rétrocontrôle [biofeedback] manométrique intracavitaire et électrostimulation
HKSD001;Hémostase secondaire à un acte sur l'anus
ZCJD001;Irrigation-drainage d'une fistule d'un viscère abdominal, par 24 heures
HMCH001;Cholécystostomie, par voie transcutanée avec guidage échographique et/ou radiologique
HMCA009;Cholécystostomie cutanée, par laparotomie
HMAH001;Dilatation de conduit biliaire, par un drain transcutané déjà en place avec guidage échographique et/ou radiologique
HMAH002;Dilatation de conduit biliaire, par voie transcutanée avec guidage échographique et/ou radiologique
HMAE002;Dilatation rétrograde de conduit biliaire, par oso-gastro-duodénoscopie
HMAE001;Dilatation de l'ampoule hépatopancréatique [du sphincter d'Oddi], par oso-gastro-duodénoscopie
HMJH006;Drainage externe d'un conduit biliaire, par voie transcutanée avec guidage échographique et/ou radiologique
HMJH005;Drainage externe d'un conduit biliaire avec pose d'une endoprothèse, par voie transcutanée avec guidage échographique et/ou radiologique
HMJH003;Drainage externe de plusieurs conduits biliaires, par voie transcutanée avec guidage échographique et/ou radiologique
HMJH001;Drainage externe de plusieurs conduits biliaires avec pose d'endoprothèse, par voie transcutanée avec guidage échographique et/ou radiologique
HMJH004;Drainage externe de conduit biliaire, par voie transcutanée avec guidage scanographique
HMJH002;Drainage internalisé d'un conduit biliaire, par voie transcutanée avec guidage échographique et/ou radiologique
HMJH007;Drainage internalisé de plusieurs conduits biliaires, par voie transcutanée avec guidage échographique et/ou radiologique
HMMA001;Internalisation secondaire d'un drainage biliaire externe déjà en place
HMMA002;Internalisation secondaire de plusieurs drainages biliaires externes déjà en place
HMPE001;Section du versant biliaire du muscle sphincter de l'ampoule hépatopancréatique [sphincter d'Oddi], par oso-gastro-duodénoscopie [Sphinctérotomie biliaire endoscopique]
HMLH003;Pose d'une endoprothèse dans un conduit biliaire préalablement drainé, avec guidage échographique et/ou radiologique
HMLH002;Pose de plusieurs endoprothèses dans des conduits biliaires préalablement drainés, avec guidage échographique et/ou radiologique
HMLE002;Pose d'une endoprothèse biliaire, par oso-gastro-duodénoscopie
HMLE003;Pose de plusieurs endoprothèses biliaires, par oso-gastro-duodénoscopie
HMLH001;Pose d'une endoprothèse biliaire, par oso-gastro-duodénoscopie et par voie transcutanée avec guidage échographique et/ou radiologique
HMLC001;Pose d'endoprothèse biliaire par cholédochotomie, par colioscopie
HMLA001;Pose d'endoprothèse biliaire par cholédochotomie, par laparotomie
HMKH001;Changement de drain biliaire, par voie transcutanée avec guidage échographique et/ou radiologique
HMGH002;Ablation ou changement d'endoprothèse biliaire, par voie transcutanée avec guidage échographique et/ou radiologique
HMGH003;Ablation ou changement d'endoprothèse biliaire, par un drain transcutané déjà en place avec guidage échographique et/ou radiologique
HMGE001;Ablation d'endoprothèse biliaire et/ou pancréatique, par oso-gastro-duodénoscopie
HMKE001;Changement d'une endoprothèse biliaire, par oso-gastro-duodénoscopie
HMKE002;Changement de plusieurs endoprothèses biliaires, par oso-gastro-duodénoscopie
HLJC001;Évacuation de collection hépatique, par colioscopie
HLJA001;Évacuation de collection hépatique, par laparotomie
HLCC001;Fenestration de kystes biliaires hépatiques, par colioscopie
HLCA002;Fenestration de kystes biliaires hépatiques, par laparotomie
HMCC003;Cholécystogastrostomie ou cholécystoduodénostomie, par colioscopie
HMCA003;Cholécystogastrostomie ou cholécystoduodénostomie, par laparotomie
HMCA010;Cholécystogastrostomie ou cholécystoduodénostomie avec gastrojéjunostomie, par laparotomie
HMCA001;Cholécystoduodénostomie pour atrésie des conduits biliaires extrahépatiques, par laparotomie
HMCA011;Cholécystojéjunostomie, par laparotomie
HMCC002;Cholédochoduodénostomie, par colioscopie
HMCA002;Cholédochoduodénostomie, par laparotomie
HMCC013;Cholédochoduodénostomie avec gastrojéjunostomie, par colioscopie
HMCA004;Cholédochoduodénostomie avec gastrojéjunostomie, par laparotomie
HMCC001;Cholédochojéjunostomie, par colioscopie
HMCA006;Cholédochojéjunostomie, par laparotomie
HMCA008;Anastomose biliodigestive portant sur la convergence des conduits hépatiques, par laparotomie
HMCA007;Anastomose biliodigestive au-dessus de la convergence portant sur plusieurs conduits biliaires, par laparotomie
HMCA005;Anastomose biliodigestive intrahépatique portant sur un conduit biliaire segmentaire, par laparotomie
HMGH004;Ablation de calcul des voies biliaires, par voie transcutanée avec guidage échographique et/ou radiologique
HMGE002;Ablation de calcul de la voie biliaire principale, par oso-gastro-duodénoscopie
HMGH001;Ablation de calcul de la voie biliaire principale, par oso-gastro-duodénoscopie et par voie transcutanée avec guidage échographique et/ou radiologique
HMGC001;Ablation de calcul de la voie biliaire principale par cholédochotomie, par colioscopie
HMGA001;Ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie
HMNM001;Lithotritie extracorporelle des conduits biliaires
HMNE001;Lithotritie mécanique des conduits biliaires, par oso-gastro-duodénoscopie
HMNE002;Lithotritie des conduits biliaires par ondes de choc, par cholangioscopie rétrograde
HMNJ002;Lithotritie des conduits biliaires par ondes de choc, par cholangioscopie par un drain transcutané déjà en place
HMNJ003;Lithotritie des conduits biliaires par ondes de choc, par cholangioscopie par voie transcutanée
HMFC004;Cholécystectomie, par colioscopie
HMFA007;Cholécystectomie, par laparotomie
HMFC001;Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par colioscopie
HMFA004;Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par laparotomie
HMFC002;Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par colioscopie
HMFA003;Cholécystectomie par colioscopie, avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie
HMFA008;Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie
HMFC003;Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par colioscopie
HMFA006;Cholécystectomie par colioscopie, avec cholédochoduodénostomie par laparotomie
HMFA002;Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par laparotomie
HMFC005;Cholécystectomie avec cholédochojéjunostomie, par colioscopie
HMFA005;Cholécystectomie par colioscopie, avec cholédochojéjunostomie par laparotomie
HMFA001;Cholécystectomie avec cholédochojéjunostomie, par laparotomie
HMFA009;Résection de la voie biliaire principale pédiculaire avec anastomose biliodigestive, par laparotomie
HMFA010;Résection de la voie biliaire principale pédiculaire et intrapancréatique avec anastomose biliodigestive, par laparotomie
HLNM001;Destruction de tumeur hépatique par radiofréquence, par voie transcutanée avec guidage échographique
HLNK001;Destruction de tumeur hépatique par radiofréquence, par voie transcutanée avec guidage scanographique
HLNN900;Destruction de tumeur hépatique par radiofréquence, par voie transcutanée avec guidage remnographique [IRM]
HLNC003;Destruction de tumeur hépatique avec courant de radiofréquence, par colioscopie
HLNA007;Destruction de tumeur hépatique avec courant de radiofréquence, par laparotomie
HLFA014;Séquestrectomie hépatique, par laparotomie
HLFA012;Kystectomie ou périkystectomie hépatique, par laparotomie
HLFA002;Résection du dôme saillant de kyste hydatique du foie, par laparotomie
HLFC003;Résection atypique du foie, par colioscopie
HLFA019;Résection atypique du foie, par laparotomie
HLFC004;Unisegmentectomie hépatique, par colioscopie
HLFA020;Unisegmentectomie hépatique, par laparotomie
HLFA003;Résection du lobe caudé [de Spigel] [segment I] du foie, par laparotomie
HLFC027;Bisegmentectomie hépatique, par colioscopie
HLFA009;Bisegmentectomie hépatique, par laparotomie
HLFC032;Trisegmentectomie hépatique, par colioscopie
HLFA006;Trisegmentectomie hépatique, par laparotomie
HLFC002;Lobectomie hépatique gauche, par colioscopie
HLFA011;Lobectomie hépatique gauche, par laparotomie
HLFC037;Hépatectomie gauche, par colioscopie
HLFA018;Hépatectomie gauche, par laparotomie
HLFA007;Hépatectomie gauche élargie au lobe caudé [de Spigel] [segment I], par laparotomie
HLFA017;Hépatectomie droite, par laparotomie
HLFA004;Hépatectomie droite élargie au lobe caudé [de Spigel] [segment I], par laparotomie
HLFA005;Lobectomie hépatique droite [Hépatectomie droite élargie au segment IV], par laparotomie
HLFA010;Hépatectomie centrale, par laparotomie
HLFA016;Prélèvement d'un greffon hépatique total, chez un sujet en état de mort encéphalique
HLFA008;Prélèvement d'un greffon hépatique total chez un sujet en état de mort encéphalique, avec hépatectomie de réduction
HLFA001;Prélèvement d'un greffon hépatique total chez un sujet en état de mort encéphalique, avec partage du foie
HLFA015;Prélèvement d'un greffon hépatique, chez un sujet vivant
HLEA002;Transplantation de foie réduit
HLEA001;Transplantation de foie total
HLSC012;Hémostase de lésion du foie, par colioscopie
HLSA001;Hémostase de lésion du foie, par laparotomie
HLCA001;Hépato-porto-cholécystostomie ou hépato-porto-entérostomie pour atrésie des conduits biliaires extrahépatiques, par laparotomie
HNAE001;Dilatation du conduit pancréatique, par oso-gastro-duodénoscopie
HNLE001;Pose d'une endoprothèse du conduit pancréatique, par oso-gastro-duodénoscopie
HNKE001;Changement d'une endoprothèse du conduit pancréatique, par oso-gastro-duodénoscopie
HNPE002;Section du versant pancréatique du muscle sphincter de l'ampoule hépatopancréatique [sphincter d'Oddi], par oso-gastro-duodénoscopie [Sphinctérotomie pancréatique endoscopique]
HNPE003;Sphinctérotomie de la papille duodénale mineure [papille accessoire], par oso-gastro-duodénoscopie
HNGE001;Ablation de calcul pancréatique, par oso-gastro-duodénoscopie
HNNM001;Lithotritie extracorporelle du pancréas
HNJC001;Drainage externe de collection pancréatique, par colioscopie
HNJA001;Drainage externe de collection pancréatique, par laparotomie
HNCH001;Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par voie transcutanée avec guidage échographique et/ou radiologique [Kystogastrostomie ou kystoduodénostomie transcutanée]
HNCE001;Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par oso-gastro-duodénoscopie sans guidage [Kystogastrostomie ou kystoduodénostomie endoscopique]
HNCJ001;Anastomose entre une cavité collectée du pancréas et l'estomac ou le duodénum, par oso-gastro-duodénoscopie avec guidage échoendoscopique
HNCC021;Anastomose entre un faux kyste du pancréas et l'estomac [Kystogastrostomie], par colioscopie
HNCA008;Anastomose entre un faux kyste du pancréas et l'estomac [Kystogastrostomie], par laparotomie
HNCA001;Anastomose entre un faux kyste du pancréas et le duodénum [Kystoduodénostomie], par laparotomie
HNCC033;Anastomose entre un faux kyste du pancréas et le jéjunum [Kystojéjunostomie], par colioscopie
HNCA005;Anastomose entre un faux kyste du pancréas et le jéjunum [Kystojéjunostomie], par laparotomie
HNCA006;Suture de plaie du pancréas avec reconstruction du conduit pancréatique, par laparotomie
HNCA007;Anastomose pancréaticojéjunale, par laparotomie
HNCA002;Anastomose pancréaticojéjunale avec anastomose biliojéjunale, par laparotomie
HNCA004;Anastomose pancréaticojéjunale avec gastrojéjunostomie, par laparotomie
HNCA003;Anastomose pancréaticojéjunale avec anastomose biliojéjunale et gastrojéjunostomie, par laparotomie
HNFC027;Nécrosectomie pancréatique, par colioscopie
HNFA012;Nécrosectomie pancréatique, par laparotomie
HNFC001;Exérèse de tumeur du pancréas, par colioscopie
HNFA005;Exérèse de tumeur du pancréas, par laparotomie
HNFC028;Pancréatectomie gauche avec conservation de la rate, par colioscopie
HNFA008;Pancréatectomie gauche avec conservation de la rate, par laparotomie
HNFA002;Pancréatectomie gauche avec conservation de la rate, avec anastomose pancréatojéjunale ou pancréaticojéjunale, par laparotomie
HNFC002;Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par colioscopie
HNFA013;Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par laparotomie
HNFA010;Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche] avec anastomose pancréatojéjunale ou pancréaticojéjunale, par laparotomie
HNFA001;Isthmectomie pancréatique avec rétablissement de continuité du conduit pancréatique, par laparotomie
HNFA011;Pancréatectomie totale ou subtotale avec conservation du duodénum, sans splénectomie, par laparotomie
HNFA006;Pancréatectomie totale ou subtotale avec conservation du duodénum et splénectomie, par laparotomie
HNFA007;Duodénopancréatectomie céphalique, par laparotomie
HNFA004;Duodénopancréatectomie totale avec splénectomie [Splénopancréatectomie totale], par laparotomie
HNFA009;Prélèvement d'un greffon pancréatique, chez un sujet en état de mort encéphalique
HNEA900;Transplantation du pancréas, par laparotomie
HNEA002;Transplantation du pancréas et du rein, par laparotomie
HNEH900;Transplantation d'îlots pancréatiques, par injection dans la veine porte par voie transcutanée avec guidage radiologique
HPLA004;Pose d'un cathéter intrapéritonéal par voie transcutanée, avec pose d'un système diffuseur implantable souscutané
HPLB002;Séance d'injection intrapéritonéale d'agent pharmacologique anticancéreux, par voie transcutanée
HPLB007;Séance d'administration intrapéritonéale d'agent pharmacologique anticancéreux, par un dispositif implanté
HPLB003;Administration intrapéritonéale d'agent pharmacologique anticancéreux avec hyperthermie [Chimiohyperthermie anticancéreuse intrapéritonéale], sous anesthésie générale
HPMB001;Création d'un pneumopéritoine à visée thérapeutique, par voie transcutanée
HPLB004;Pose d'un cathéter intrapéritonéal pour dialyse péritonéale, par voie transcutanée
HPLC035;Pose ou repositionnement d'un cathéter intrapéritonéal pour dialyse péritonéale, par colioscopie
HPLA005;Pose ou repositionnement d'un cathéter intrapéritonéal pour dialyse péritonéale, par laparotomie
HPPP002;Désobstruction d'un cathéter de dialyse péritonéale
HPJP001;Pelage du manchon externe d'un cathéter de dialyse péritonéale
HPPA004;Désenfouissement de l'extrémité souscutanée d'un cathéter de dialyse péritonéale
HGPC005;Ablation d'un cathéter de dialyse péritonéale, par colioscopie
HPGA001;Ablation d'un cathéter de dialyse péritonéale, par laparotomie
HPKB001;Changement d'un cathéter de dialyse péritonéale, par voie transcutanée
HPKC014;Changement d'un cathéter de dialyse péritonéale, par colioscopie
HPKA002;Changement d'un cathéter de dialyse péritonéale, par laparotomie
HPLA001;Pose d'un cathéter intrapéritonéal avec pose d'un système diffuseur implantable souscutané, pour insulinothérapie intrapéritonéale
HPPC004;Libération de l'extrémité distale du cathéter d'un système diffuseur implanté pour insulinothérapie intrapéritonéale, par colioscopie
HPKA001;Changement du cathéter intrapéritonéal d'un système diffuseur implanté pour insulinothérapie intrapéritonéale, par laparotomie
HPLA002;Pose d'un ballon intrapéritonéal avant irradiation pelvienne, par laparotomie
HPGA002;Ablation d'un ballon intrapéritonéal, par laparotomie
HPJB001;Évacuation d'un épanchement intrapéritonéal, par voie transcutanée
ZCJC001;Évacuation de collection intraabdominale, par colioscopie ou par rétropéritonéoscopie
ZCJA005;Évacuation de collection intraabdominale, par thoracotomie
ZCJA002;Évacuation d'une collection intraabdominale, par laparotomie
ZCJA004;Évacuation de plusieurs collections intraabdominales, par laparotomie
ZCJA003;Évacuation de collection intraabdominale, par colpotomie
ZCJA001;Évacuation de collection intraabdominale, par rectotomie
HPCA001;Dérivation péritonéoveineuse
ZCNH001;Sclérose d'un kyste intraabdominal par injection d'agent pharmacologique, par voie transcutanée avec guidage échographique et/ou radiologique
ZCNH004;Sclérose de plusieurs kystes intraabdominaux par injection d'agent pharmacologique, par voie transcutanée avec guidage échographique et/ou radiologique
ZCNH003;Sclérose de kyste intraabdominal par injection d'agent pharmacologique, par voie transcutanée avec guidage scanographique
ZCNH005;Sclérose de tumeur intraabdominale par injection intralésionnelle d'agent pharmacologique, par voie transcutanée avec guidage échographique et/ou radiologique
ZCNH002;Sclérose de tumeur intraabdominale par injection intralésionnelle d'agent pharmacologique, par voie transcutanée avec guidage scanographique
HPPC001;Libération d'adhérences [Adhésiolyse] ni étendues ni serrées du péritoine pelvien pour stérilité chez la femme, par colioscopie
HPPA001;Libération d'adhérences [Adhésiolyse] ni étendues ni serrées du péritoine pelvien pour stérilité chez la femme, par laparotomie
HPPC002;Libération d'adhérences [Adhésiolyse] étendues et/ou serrées du péritoine pelvien pour stérilité chez la femme, par colioscopie
HPPA003;Libération d'adhérences [Adhésiolyse] étendues et/ou serrées du péritoine pelvien pour stérilité chez la femme, par laparotomie
HPPC003;Section de bride et/ou d'adhérences péritonéales pour occlusion intestinale aigüe, par colioscopie
HPPA002;Section de bride et/ou d'adhérences péritonéales pour occlusion intestinale aigüe, par laparotomie
HGPC015;Libération étendue de l'intestin grêle [Entérolyse étendue] pour occlusion aigüe, par colioscopie
HGPA004;Libération étendue de l'intestin grêle [Entérolyse étendue] pour occlusion aigüe, par laparotomie
HPNC001;Destruction et/ou exérèse de lésion endométriosique superficielle du péritoine, par colioscopie
HPNA001;Destruction et/ou exérèse de lésion endométriosique superficielle du péritoine, par laparotomie
HPFC001;Exérèse de lésion d'un repli péritonéal [méso] sans résection intestinale, par colioscopie
HPFA003;Exérèse de lésion d'un repli péritonéal [méso] sans résection intestinale, par laparotomie
HPFC002;Résection du grand omentum [grand épiploon] [Omentectomie], par colioscopie
HPFA004;Résection du grand omentum [grand épiploon] [Omentectomie], par laparotomie
HPBA001;Réduction de volume tumoral d'une maladie gélatineuse du péritoine, par laparotomie
HPFC007;Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par colioscopie
HPFA001;Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par laparotomie
HPSC001;Ligature du processus vaginal du péritoine [canal péritonéovaginal], par colioscopie
HPSA001;Ligature du processus vaginal du péritoine [canal péritonéovaginal], par abord inguinal
HSLF002;Alimentation parentérale avec apport de 20 à 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures
HSLF003;Alimentation parentérale avec apport de plus de 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures
HSLD001;Alimentation entérale par sonde avec apport de 20 à 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures
HSLD002;Alimentation entérale par sonde avec apport de plus de 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures
HSLF001;Alimentation entérale et parentérale, avec apport de plus de 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures
AHQB008;Électromyographie analytique du périnée par électrode aiguille
AHQB003;Électromyographie analytique du périnée avec étude de la latence motrice du nerf pudendal [nerf honteux], par électrode aiguille
AHQB002;Électromyographie analytique du périnée avec étude de la latence du réflexe bulbocaverneux et des potentiels évoqués somesthésiques cérébraux par stimulation du nerf pudendal [nerf honteux]
AHQB028;Électromyographie analytique du périnée avec étude des latences des réflexes sacraux, par électrode aiguille
AHQD001;Électromyographie analytique du périnée, avec étude des latences des réflexes sacraux et des latences distales du nerf pudendal [nerf honteux] par stimulation intrarectale
AHQD002;Électromyographie analytique du périnée, avec étude des latences des réflexes sacraux, des latences distales du nerf pudendal [nerf honteux] par stimulation intrarectale et des potentiels évoqués somesthésiques cérébraux par stimulation du nerf pudendal
AHQB016;Électromyographie analytique du périnée, avec étude des latences des réflexes sacraux, de la vitesse de conduction sensitive du nerf dorsal du pénis, des potentiels évoqués somesthésiques cérébraux et des réponses cutanées sympathiques périnéales
AHQB020;Électromyographie de fibre unique du périnée avec étude de 20 paires de fibres, par électrode aiguille
JAQM003;Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale
JAQM004;Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée de la vessie
JAQJ001;Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée de la vessie et échographie de la prostate et des vésicules séminales par voie rectale
JAQM001;Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée du petit bassin [pelvis] féminin
JDQM001;Échographie transcutanée de la vessie et/ou de la prostate
