ACTE;LIB_ACTE
1746;HERPES SIMPLEX (VHS) : SD : AC IGM ANTI  VHS 1 ET 2  PAR EIA
1752;HERPES 6 (VHH6) : SD : AC IGG
1753;HERPES 6 (VHH6) : SD : AC IGG PAR IFI
1754;INFECTION A HTLV (I ET II) : SD DE DEPISTAGE PAR EIA
1755;INFECTION A HTLV (I ET II) : SD DE CONFIRMATION PAR IMMUNOTRANSFERT
1756;OREILLONS (V. OURLIEN) : INFECTION RECENTE : SD : IGG + IGM PAR IFI
1757;OREILLONS (V. OURLIEN) : INFECTION RECENTE : SD : IGG   + IGM PAR EIA
1758;OREILLONS (V. OURLIEN) : IMMUNITE ANCIENNE : SD : IGG PAR EIA
1759;OREILLONS (V. OURLIEN) : IMMUNITE ANCIENNE : SD : IGG PAR IFI
1761;PARAINFLUENZA (PARAMYXOVIRUS) : SD PAR RFC
1762;INF. A PARVOVIRUS B 19 RECENTE : SD : IGG + IGM PAR IFI
1763;INF. A PARVOVIRUS B 19 RECENTE : SD : IGG + IGM PAR  EIA
1764;INF. A PARVOVIRUS B 19 ANCIENNE : SD : IGG OU IG TOTALES PAR EIA
1767;RAGE : SD CONTROLE D'IMMUNITE : IGG PAR EIA
1768;ROUGEOLE : SD INFECTION RECENTE : IGG + IGM PAR EIA
1770;ROUGEOLE : SD CONTROLE D'IMMUNITE : IGG OU IG TOTALES PAR EIA
1772;ROUGEOLE : SD CONTROLE D'IMMUNITE : IGG OU IG TOTALES PAR IHA
1773;RUBEOLE : SD PAR IHA OU EIA
1777;VARICELLE-ZONA : DIAGNOSTIC D'UNE  INFECTION RECENTE    OU D'UNE RECURRENCE :  IGG ET IGM PAR EIA
1779;DETECTION DES ANTICORPS ANTI-VZV RECHERCHE DES IGG DETERMINATION DU STATUT IMMUNITAIRE: DANS LES
1785;RECHERCHE D'ANTICORPS ANTI-CMV RECHERCHE DES IGG:  DETERMINATION DU STATUT IMMUNITAIRE : DANS LES
1800;DIABETE INSULINO-DEPENDANT : ANTICORPS ANTI-IA2
1801;ESTRADIOL DANS UN AUTRE MILIEU BIOLOGIQUE QUE LE SANG
1802;SULFATE DE DHA. LA PRISE EN CHARGE DE L'EXAMEN EST LIMITEE AUX MALADIES SURRENALIENNES.
1480;THROMBOPENIES : AUTOAC ANTIPLAQ.  : IDENT. CIBLE IMMUNOBLOT
1486;THYROIDE : AUTOAC ANTIMICROSOMES THYROIDIENS PAR IFI
1664;ANTIDEPRESSEURS AUTRES QUE TRICYCLIQUES : RECHERCHE (SANG)
1670;PRIMIDONE (MYSOLINE) + PHENOBARBITAL (GARDENAL)
1676;LIDOCAINE (XYLOCAINE, ...)
1683;RECHERCHE ET IDENTIFICATION DE LAXATIFS DANS LES SELLES, COMPRENANT AU MINIMUM CELLE DES DERIVES AN
1690;CORPS ASBESTOSIQUES (PARENCH. PULM., LBA, EXPECTORATION)
1720;POLIOMYELITE : SD : CONTROLE D'IMMUNITE (3 SEROTYPES)
1721;INFECTION A VIRUS COXSACKIE A ET B : SD
1747;HERPES SIMPLEX (VHS) : SD : AC IGM ANTI VHS 1 + 2 PAR IFI
1707;ARBOVIROSES : RECHERCHE IGM SPECIFIQUES PAR EIA
1708;ARBOVIROSES : RECHERCHE IGG SPECIFIQUES PAR EIA
1745;HERPES SIMPLEX (VHS) : SD : AC IGG ANTI VHS  1 + 2  PAR IFII
1771;ROUGEOLE : SD CONTROLE D'IMMUNITE : IGG OU IG TOTALES PAR IFI
1803;TEST AU TRH. COTATION APPLICABLE QUEL QUE SOIT LE NOMBRE D'HORMONES DOSEES. LA COTATION DE L'ACTE
1804;PROTEINE C REACTIVE (CRP)
1805;ALPHA 2 MACROGLOBULINE : DOSAGE
1806;ALBUMINE
1807;"ALPHA 1 ANTITRYPSINE (ALPHA 1 PROTINEASE INHIBITOR; ALPHA 1 PI) : DOSAGE"
1808;ALPHA 1 GLYCOPROTEINE ACIDE OU OROSOMUCOIDE : DOSAGE
1809;CERULEOPLASMINE : DOSAGE
1810;C1 INHIBITEUR : DOSAGE
1811;C3
1812;C4
1813;HAPTOGLOBINE
1814;IGA
1815;IGG
1816;IGM
1817;PREALBUMINE
1818;RBP (RETINOL BINDING PROTEIN) : DOSAGE
1819;TRANSFERRINE OU SIDEROPHYLLINE : DOSAGE
1820;DERIVES DIHYDROXYLES DE LA VITAMINE D. UNE SEULE COTATION PAR PATIENT.
1821;PEPTIDES NATRIURETIQUES (ANP, BNP, NT-PROBNP) :  DOSAGE
1822;RECEPTEUR SOLUBLE DE LA TRANSFERRINE (RSTF) : DOSAGE
1823;ANTIGENE CA 125 DANS UN AUTRE MILIEU BIOLOGIQUE QUE LE SANG : DOSAGE
1824;CHROMOGRANINE : DOSAGE
1825;PARAMETRES TISSULAIRES EN CANCEROLOGIE : DOSAGES QUANTITATIFS A PARTIR D'UNE EXTRACTION SUBCELLULAI
1826;PARAMETRES TISSULAIRES EN CANCEROLOGIE : TRAITEMENT PRE-ANALYTIQUE DU TISSU TUMORAL CRYOPRESERVE -
1827;RECHERCHE OU TITRAGE D'ANTICORPS ANTIPEPTIDES CYCLIQUES CITRULLINES. CET ACTE EST INDIQUE DANS LE D
1828;RECHERCHE OU TITRAGE D'AUTOANTICORPS ANTITRANSGLUTAMINASE DE CLASSE IGA. L'ANTIGENE UTILISE DOIT ET
1829;RECHERCHE OU TITRAGE D'AUTOANTICORPS ANTITRANSGLUTAMINASE DE CLASSE IGG. L'ANTIGENE UTILISE DOIT ET
1830;RECHERCHE OU TITRAGE D'AUTOANTICORPS ANTIENDOMYSIUM DE CLASSE IGA PAR IMMUNOFLUORESCENCE INDIRECTE.
1831;RECHERCHE OU TITRAGE D'AUTOANTICORPS ANTIENDOMYSIUM DE CLASSE IGG PAR IMMUNOFLUORESCENCE INDIRECTE.
2000;SANG : CAPACITE TOTALE DE SATURATION EN FER DE LA TRANSFERRINE (CTST)
2001;SANG : DOSAGE DU CHOLESTEROL-LDL (C-LDL). PAR UNE METHODE ENZYMATIQUE, DIRECTE, STANDARDISEE ET AU
2003;ZINC PLASMATIQUE OU SERIQUE. UNE SEULE COTATION PAR PATIENT. CE DOSAGE PEUT ETRE REALISE PAR SPECT
2004;UR : PROTEINURIE, RECHERCHE ET DOSAGE
2005;UR. : SODIUM URINAIRE
2006;UR. : POTASSIUM URINAIRE
2007;UR. : GLYCOSURIE, RECHERCHE ET DOSAGE
2008;CUIVRE URINAIRE
2009;UR. : CRISTALLURIE
2010;UR. : OXALURIE
2011;UR. : CITRATURIE
2012;UR. : MAGNESURIE
2013;UR. : OXALURIE + CITRATURIE + MAGNESURIE
2108;HEMATOCRITE (HTE)
2109;RECHERCHE - QUANTIFICATION D'HEMATIES  FOETALES PAR LE TEST DE KLEIHAUER OU  PAR UNE TECHNIQUE IMMU
2258;PROTEINES SERIQUES OU PLASMATIQUES TOTALES (PROTIDES)
3246;MYCOPLASMOSES RESPIRATOIRES : SERODIAGNOSTIC : IGG PAR EIA + ITERATIF
3247;MYCOPLASMOSES RESPIRATOIRES : SERODIAGNOSTIC : IGM PAR EIA + ITERATIF
3248;FIEVRE Q (COXIELLA BURNETTI) : SERODIAGNOSTIC : TITRAGE AVEC UN ANTIGENE DE PHASE II (IFI) + ITERA
3249;FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET
3252;MALADIE DES GRIFFES DU CHAT (BARTONELLOSES-INFECTIONS A BARTONELLA HENSELAE ET BARTONELLA QUINTANA)
3253;ARBOVIROSES (AUTRES QUE LES INFECTIONS  PAR LES VIRUS DE LA DENGUE OU DU  CHIKUNGUNYA) RECHERCHE D
3254;INFECTION PAR LE VIRUS DU CHIKUNGUNYA RECHERCHE DES IGM ET DES IGG + EXAMEN ITERATIF PAR EIA INFE
3255;INFECTION PAR LES VIRUS DE LA DENGUE -  RECHERCHE DES IGG ET DES IGM + EXAMEN ITERATIF PAR EIA IN
3308;INFECTIONS PULMONAIRES A CHLAMYDIA  PNEUMONIAE : SERODIAGNOSTIC + ITERATIF
3309;INFECTIONS PULMONAIRES A CHLAMYDIA PSITTACI : SERODIAGNOSTIC + ITERATIF
3310;INFECTIONS A CAMPYLOBACTER :  SERODIAGNOSTIC + ITERATIF
3311;INFECTIONS A HELICOBACTER PYLORI : SERODIAGNOSTIC + ITERATIF
3313;MYCOPLASMOSES RESPIRATOIRES :  SERODIAGNOSTIC AVEC ANTICORPS TOTAUX  PAR RFC +AGG + ITERATIF
3318;RICKETTSIOSES (RICKETTSIA CONORII,  RICKETTSIA TYPHI) : SERODIAGNOSTIC :  TITRAGE SUR AU MOINS 2 AN
3337;LEGIONELLOSES : SERODIAGNOSTIC : TITRAGE AVEC SIX ANTIGENES ET PLUS + ITERATIF
3713;INFECTION A CMV RECENTE  SD :  IGG + IGM PAR EIA + ITERATIF
3729;GRIPPE A : SD PAR RFC + ITERATIF
3732;GRIPPE B : SD PAR RFC + ITERATIF
3744;HERPES SIMPLEX (VHS) : SD : AC IGG ANTI  VHS 1 ET 2 PAR EIA + ITERATIF
3746;HERPES SIMPLEX (VHS) : SD : AC IGM ANTI  VHS 1 ET 2 PAR EIA + ITERATIF
3773;RUBEOLE : SD PAR IHA OU EIA + ITERATIF
3777;VARICELLE-ZONA : DIAGNOSTIC D'UNE  INFECTION RECENTE OU D'UNE RECURRENCE :  IGG ET IGM PAR EIA + IT
3779;INFECTION A CMV : DIAGNOSTIC RAPIDE DE L'IMMUNITE : TEST AU LATEX
3780;GRIPPES A ET B : SD CONTROLE D'IMMUNITE PAR IHA
3783;RUBEOLE : SD : IGM PAR IMMUNOCAPTURE
3784;HEPATITE C (VHC) : SD DE DEPISTAGE : AC ANTI-VHC PAR EIA
3785;HEPATITE C (VHC) : CONTROLE SEROLOGIQUE PAR UNE TECHNIQUE EIA OU NON, UTILISANT UN REACTIF DIFFEREN
3786;INFECTION A EBV : MONONUCLEOSE INFECTIEUSE (MNI) : AC HETEROPHILES : RECHERCHE
3787;INFECTION A VRS : SD : DEPISTAGE AC PAR EIA
4001;DPN : C. INDEX - ET. FAMILIALE : ORIENTATION : PROFILS METABOLIQUES
4002;DPN : C. INDEX - ET. FAMILIALE : ORIENTATION : DOSAGE METABOLITE
4003;DPN : C. INDEX - ET. FAMILIALE : ORIENT : IMMUNOCHIMIE PROT OU METAB SUR CELL
4004;TRISOMIE 21 F TALE : DEPISTAGE AU  DEUXIEME TRIMESTRE  PAR LES MARQUEURS  SERIQUES MATERNELS. CET EX
4005;TRISOMIE 21 F TALE : DEPISTAGE  SEQUENTIEL INTEGRE AU  DEUXIEME  TRIMESTRE. SI LES CONDITIONS DE  L
4006;TRISOMIE 21 F TALE : DEPISTAGE COMBINE AU PREMIER  TRIMESTRE DE LA GROSSESSE. L'EXAMEN SERA PRATIQUE
4011;DPN : C. INDEX - ET. FAMILIALE : ENZ : SUBSTRAT NON ISOTOPIQUE - 1 ACTIVITE
4012;DPN : C. INDEX - ET. FAMILIALE : ENZ SUBSTRAT NON ISOTOPIQUE (TECHN. COMPLEXE)
4013;DPN : C. INDEX - ET. FAMILIALE : ENZ (SUBSTRAT ISOTOPIQUE)
4020;DPN PROPREMENT DIT : ALPHA FOETO PROTEINE
4021;DPN PROPREMENT DIT - ACETYLCHOLINESTERASE AVEC ELECTROPHORESE
4030;DPN : C. INDEX - ET. FAMILIALE : CULTURES CELLULAIRES
4031;DPN PROPREMENT DIT : CULTURES CELLULAIRES
4033;DPN : C. INDEX - ET. FAMILIALE : MAL. HEREDITAIRES METABOLIQUES
4040;DPN : ET. FAMILIALE : MUCOVISCIDOSE : 2 MUTATIONS, DONT DELTA F 508
4041;DPN : ET. FAMILIALE : MUCOVISCIDOSE : PLUS DE 2 MUTATIONS
4042;DPN : ET. FAMILIALE : MUCOVISCIDOSE : POLYMORPHISME DE L'ADN
4045;DPN PROPREMENT DIT : MUCOVISCIDOSE : AUTRES MUTATIONS QUE DELTA F 508
4046;DPN PROPREMENT DIT  : MUCOVISCIDOSE : POLYMORPHISME DE L'ADN
4050;DPN : ET. FAMILIALE : X FRAGILE
4051;DPN PROPREMENT DIT : X FRAGILE
4054;DPN : DREPANOCYTOSE
4063;DPN : RECHERCHE DE L'ADN TOXOPLASMIQUE
4065;DPN : RECHERCHE DE L'ADN DU CYTOMEGALOVIRUS (CMV)
4066;DPN : RECHERCHE DE L'ADN DU VIRUS DE LA VARICELLE
4070;DPN : RECHERCHE DE L'ADN DU PARVOVIRUS
4082;DPN : ET. FAMILIALE : AUTRES AFFECTIONS GENETIQUES
4083;DPN PROPREMENT DIT : AUTRES INFECTIONS GENETIQUES
4084;DETERMINATION PRENATALE DU SEXE F TAL A PARTIR DU SANG MATERNEL. LES INDICATIONS DE CET EXAMEN SONT
4101;GENOME (ADN) : MYCOBACTERIES HYBRID MOLEC : DIAG D'ESPECE ET IDENT
4102;GENOME (ADN) : MYCOBACTERIES HYBRID MOLEC DANS TISSUS ET LCR
4117;MESURE DES CONCENTRATIONS PLASMATIQUES DES ANTIRETROVIRAUX
4118;VIRUS DE L'HEPATITE DELTA (VHD) : DETECTION QUALITATIVE DE L'ARN VIRAL
4119;VIRUS DE L'HEPATITE DELTA (VHD) : DETECTION QUANTITATIVE DE L'ARN VIRAL
4120;GENOME (ADN) : VIRUS DE L'HEPATITE B (VHB): HYBRIDATION MOLECULAIRE
4122;GENOME (ARN) VIH - 1 : CHARGE VIRALE
4123;DETECTION QUALITATIVE DE L'ARN VIRAL
4124;DETERMINATION QUANTITATIVE DE LA VIREMIE  (CHARGE VIRALE)
4125;GENOTYPAGE DU VHC PAR BIOLOGIE  MOLECULAIRE
4127;PAPILLOMAVIRUS HUMAINS (HPV) ONCOGENES : DETECTION DU GENOME VIRAL (ADN). PAR HYBRIDATION MOLECULAI
4128;DETECTION QUALITATIVE ET QUANTITATIVE DE L'ARN VIH-1 DANS LE PLASMA SEMINAL ET/OU LA FRACTION FINAL
4201;CNO : CULTURES CELLULAIRES DE VIRUS NON ORIENTEES
4205;ADENOVIRUS : RECHERCHE DIRECTE SUR SELLES PAR AGG
4206;ADENOVIRUS : RECHERCHE DIRECTE SUR SELLES PAR EIA
4207;ADENOVIRUS : RECHERCHE DIRECTE SUR LIQUIDES AUTRES QUE SELLES PAR IF
4208;ADENOVIRUS : CULTURES ORIENTEES ET IDENTIFICATION
4218;ASTROVIRUS : RECHERCHE DIRECTE PAR EIA
4221;CALICIVIRUS : RECHERCHE DIRECTE PAR EIA
4222;CORONAVIRUS : RECHERCHE DIRECTE PAR IF
4224;HERPETOVIRIDAE : RECHERCHE PAR ME(URGENCE)
4225;CYTOMEGALOVIRUS  (CMV) : RECHERCHE DIRECTE PAR IF
4226;CYTOMEGALOVIRUS  (CMV) : ANTIGENEMIE LEUCOCYTAIRE PAR IF
4227;CYTOMEGALOVIRUS (CMV) : CULTURES ORIENTEES ET IDENTIFICATION
4228;VIRUS DE L'HERPES SIMPLEX (VHS) : RECHERCHE DIRECTE PAR IF
4229;VIRUS DE L'HERPES SIMPLEX (VHS) : RECHERCHE DIRECTE PAR EIA
4230;VIRUS DE L'HERPES SIMPLEX (VHS) : CULTURES ORIENTEES ET IDENTIFICATION
4232;VIRUS DE VARICELLE ET ZONA : RECHERCHE DIRECTE PAR IF
4234;VIRUS DE VARICELLE ET ZONA : CULTURES ORIENTEES ET IDENTIFICATION
4240;VIRUS GRIPPAUX (A ET B) : RECHERCHE DIRECTE PAR IF
4241;VIRUS GRIPPAUX (A ET B) : RECHERCHE DIRECTE PAR EIA
4242;VIRUS GRIPPAUX (A ET B) : CULTURES ORIENTEES ET IDENTIFICATION
4243;VIRUS PARAINFLUENZAE (I, II, III, IV) : RECHERCHE DIRECTE PAR IF
4244;VIRUS PARAINFLUENZAE (I, II, III, IV) : RECHERCHE DIRECTE PAR EIA
4246;VIRUS RESPIRATOIRE SYNCYTIAL (VRS) : RECHERCHE DIRECTE PAR IF
4247;VIRUS RESPIRATOIRE SYNCYTIAL (VRS) : RECHERCHE DIRECTE PAR EIA
4248;VIRUS RESPIRATOIRE SYNCYTIAL (VRS) : CULTURES ORIENTEES ET IDENTIFICATION
4258;VIH : CULTURES SUR LYMPHOCYTES
4263;VIRUS DE LA ROUGEOLE : RECHERCHE DIRECTE PAR EIA
4266;ROTAVIRUS : RECHERCHE DIRECTE PAR AGG
4267;ROTAVIRUS : RECHERCHE DIRECTE PAR EIA
4273;DETECTION DE L'ANTIGENE NS1 DE LA  DENGUE   PAR EIA OU PAR ICT  LA PRISE EN CHARGE DE L'ACTE 427
4301;AMIBIASE : SD DE DEPISTAGE PAR 2 TECHN.
4304;ANISAKIASE : SD DE DEPISTAGE PAR 2 TECHN.
4307;ASPERGILLOSE : SD DE DEPISTAGE
4309;ASPERGILLOSE : SD DE CONFIRMATION PAR IELP
4310;ASPERGILLOSE : SD DE CONFIRMATION PAR IE
4311;ASPERGILLOSE : RECHERCHE ANTIGENES SOLUBLES
4312;CANDIDOSE : SD DE DEPISTAGE PAR 1 TECHN.
4313;CANDIDOSE SYSTEMIQUE :SD DE DEPISTAGE PAR 2 TECHNIQUES
4315;CANDIDOSE : SD DE CONFIRMATION PAR IELP
4317;CANDIDOSE : RECHERCHE ANTIGENES SOLUBLES
4318;CRYPTOCOCCOSE : ANTIGENES SOLUBLES : RECHERCHE
4319;CRYPTOCOCCOSE : ANTIGENES SOLUBLES : TITRAGE
4321;CYSTICERCOSE : SD DE DEPISTAGE PAR 2 TECHN.
4323;CYSTICERCOSE : SD DE CONFIRMATION PAR IE
4324;DISTOMATOSE : SD DE DEPISTAGE PAR 2 TECHN.
4326;DISTOMATOSE : SD DE CONFIRMATION PAR IELP
4327;DISTOMATOSE : SD DE CONFIRMATION PAR IE
4328;ECHINOCOCCOSES (KYSTE HYDATIQUE, ...) : SD DE DEPISTAGE PAR 2 TECHN.
4330;ECHINOCOCCOSES  (KYSTE HYDATIQUE, ...) : SD DE CONFIRMATION PAR IELP
4331;ECHINOCOCCOSES  (KYSTE HYDATIQUE, ...) : SD DE CONFIRMATION PAR IE
4332;FILARIOSE : SD DE DEPISTAGE PAR 2 TECHN.
4334;FILARIOSE : SD DE CONFIRMATION PAR IELP
4336;HISTOPLASMOSE : SD DE DEPISTAGE
4337;HISTOPLASMOSE : SD DE CONFIRMATION PAR IELP
4338;HYPODERMOSE : SD DE DEPISTAGE PAR 2 TECHN.
4340;LARVA MIGRANS : TOXOCAROSE : SD DE DEPISTAGE PAR 2 TECHN.
4343;LARVA MIGRANS : TOXOCAROSE : SD DE CONFIRMATION PAR IE
4344;LEISHMANIOSE : SD DE DEPISTAGE PAR 2 TECHN.
4345;LEISHMANIOSE : SD DE CONFIRMATION PAR IE
4347;MAL. POUMON ELEVEUR D'OISEAUX : SD DE DEPISTAGE
4348;MAL. POUMON ELEVEUR D'OISEAUX : SD DE CONFIRMATION PAR IELP
4349;MAL. POUMON FERMIER : SD DE DEPISTAGE
4350;MAL POUMON FERMIER : SD DE CONFIRMATION PAR IELP
4351;ALVEOLITES ALLERGIQUES EXOGENES : SD DE DEPISTAGE
4352;ALVEOLITES ALLERGIQUES EXOGENES : SD DE CONFIRMATION PAR IELP
4354;PALUDISME : SD PAR IFI
4355;SCHISTOSOMIASE : SD DE DEPISTAGE
4357;SCHISTOSOMIASE : SD DE CONFIRMATION PAR IE
4358;TRICHINOSE : SD DE DEPISTAGE
4359;TRICHINOSE : SD DE CONFIRMATION PAR IELP
4360;TRYPANOSOMIASE : MAL. SOMMEIL : SD DE DEPISTAGE
4361;TRYPANOSOMIASE : MAL. CHAGAS : SD DE DEPISTAGE
4362;INFECTION PARASITAIRE NON NOMMEMENT INSCRITE A LA NABM : SERODIAGNOSTIC (SD)
4710;HEPATITE B (VHB):SD INFECTION RECENTE:AG HBS+AC ANTI-HBC IGM PAR EIA
4711;HEPATITE B (VHB):SD HEPATITE CHRONIQUE:AG HBS+AG HBE+AC ANTI-HBE PAR EIA
4712;HEPATITE B (VHB):SD CONTROLE GUERISON:AG HBS+AC ANTI-HBS PAR EIA
4713;HEPATITE B (VHB):SD CONTROLE AVANT VACCINATION:AC ANTI HBS+AC ANTI HBC EIA
4714;HEPATITE B (VHB):SD CONTROLE APRES VACCINATION:AC ANTI-HBS PAR EIA
4715;HEPATITE B (VHB):SD SURVEILLANCE GROSSESSE:AG HBS PAR EIA
4716;INFECTION A HTLV (I ET II) : SD DE DEPISTAGE PAR AGGLUTINATION
4717;RUBEOLE : SD D'UNE IMMUNITE POST-VACCINALE PAR AGGLUTINATION
4718;LEPTOSPIROSE RECHERCHE DES IGM DE LEPTOSPIRA PAR EIA A REALISER UNIQUEMENT EN PHASE IMMUNE (DETEC
5201;EXAMEN CYTOBACTERIOLOGIQUE DES URINES  (ECBU)  CET EXAMEN DOIT ETRE PRATIQUE SUR URINES FRAICHEME
5202;SECRETIONS, EXSUDATS ET ULCERATIONS DE LOCALISATION GENITALE ET ANO-GENITALE  CHEZ LA FEMME.  OUT
5203;SECRETIONS, EXSUDATS ET ULCERATIONS DE LOCALISATION GENITALE ET ANO-GENITALE  CHEZ L'HOMME.  OUTR
5204;PRODUIT D'ORIGINE PELVIENNE OBTENU PAR COELIOSCOPIE.  OUTRE LES RECHERCHES INCLUSES DANS LA COTAT
5205;SPERME  OUTRE LES RECHERCHES INCLUSES DANS LA COTATION FORFAITAIRE, L'EXAMEN COMPREND LA NUMERATI
5207;EX MICROBIO MATIERES FECALES ET/OU PRELEVEMENT RECTAL
2002;COEFFICIENT DE SATURATION DE LA TRANSFERRINE (CS-TF ) LE CODE 2002 COMPREND LES DOSAGES DU FER ET DE
4022;DPN PROPREMENT DIT : ACTIVITE ENZ : TYPE PHOSPHATASE ALCALINE
4076;DPN : ALLOIMMUNISATION FOETO-MATERNELLE
4080;DPN : ET. FAMILIALE : HEMOPHILIES
4085;DETERMINATION PRENATALE DU GENOTYPE RHD F TAL A PARTIR DU SANG  MATERNEL  PAR PCR EN TEMPS REEL UTI
4086;SECONDE DETERMINATION PRENATALE DU GENOTYPE RHD  F TAL A  PARTIR DU SANG MATERNEL IL NE PEUT ETRE CO
4103;TEST DE DETECTION DE LA PRODUCTION D'INTERFERON  GAMMA (IGRA)  LA PRISE EN CHARGE EST LIMITEE AUX SI
4104;IGRA : SUPPLEMENT EN CAS D'ISOLEMENT PREALABLE DE  CELLULES  MONONUCLEES CIRCULANTES LA PRISE EN CHA
4203;CNO : IDENTIFICATION VIRALE PAR 3 A 7 SERUMS
4217;ASTROVIRUS : RECHERCHE DIRECTE PAR MIE
4308;ASPERGILLOSE : SD DE CONFIRMATION PAR COES
4353;PALUDISME : SD PAR ELS
4504;RECHERCHE D'ENTEROVIRUS PAR AMPLIFICATION GENIQUE  DANS LE  LIQUIDE CEREBROSPINAL. LA PRISE EN CHARG
4061;DPN : TOXOPLASME : INOCULATION A SOURIS
1769;ROUGEOLE : SD INFECTION RECENTE : IGG + IGM PAR IFI
3707;ARBOVIROSES : RECHERCHE IGM PAR EIA + ITERATIF
3708;ARBOVIROSES : RECHERCHE IGG SPECIFIQUES PAR EIA + ITERATIF
3781;INFECTION A VRS : SD : DEPISTAGE AC PAR RFC (CHEZ ADULTE)
4034;DPN PROPREMENT DIT : MAL. HEREDITAIRES METABOLIQUES
4055;DPN : BETA THALASSEMIE MAJEURE (2 MUTATIONS)
4056;DPN : BETA THALASSEMIE MAJEURE (+ DE 2 MUTATIONS)
4209;ADENOVIRUS : MISE EN EVIDENCE SUR SELLES PAR ME
4305;ANISAKIASE : SD DE CONFIRMATION PAR IELP
4314;CANDIDOSE : SD DE CONFIRMATION PAR COES
4356;SCHISTOSOMIASE : SD DE CONFIRMATION PAR IELP
4238;VIRUS COXSACKIE B : CULTURES CELLULAIRES
4087;DEPISTAGE DE LA TRISOMIE 21 F TALE PAR  ANALYSE DE   L'ADN LIBRE CIRCULANT DANS LE  SANG MATERNEL  D
4088;DPNI-SECOND DEPISTAGE DE LA TRISOMIE 21  F TALE PAR  ANALYSE DE L'ADN LIBRE  CIRCULANT DANS LE SANG
4346;RECHERCHE DE LEISHMANIA PAR AMPLIFICATION GENIQUE A PARTIR D'UN PRELEVEMENT SANGUIN, DE MOELLE OSSEU
4363;RECHERCHE DE PNEUMOCYSTIS JIROVECII COTATION FORFAITAIRE COMPRENANT : - L'EXAMEN DIRECT A PARTIR D'
4500;STATUT SEROLOGIQUE DEPISTAGE ET/OU DIAGNOSTIC D'UNE  HEPATITE  B. - ANTIGENE HBS  - ANTICORPS ANTI-H
4501;STATUT SEROLOGIQUE EN CAS DE RESULTAT POSITIF POUR  L'ANTIGENE  HBS LORS DE L'EXAMEN 4500,  - UNE
4502;STATUT SEROLOGIQUE  DIAGNOSTIC D'UNE INFECTION  RECENTE  IGM ANTI-VHE
4503;DETECTION QUANTIFICATION DE L'ARN VIRAL DU  VHE LES  INDICATIONS SONT LIMITEES AUX  SITUATIONS SUIVA
4505;DETECTION-QUANTIFICATION DU GENOME DU   CYTOMEGALOVIRUS DANS LES PRELEVEMENTS  SUIVANTS:  SANG, MOE
4506;DETECTION DU GENOME ET TYPAGE DE L'HERPES  SIMPLEX 1  ET 2
4507;RECHERCHE DIRECTE DE VZV PAR AMPLIFICATION  GENIQUE   SUR LESIONS CUTANEOMUQUEUSES, LCS,  PRELEVEMEN
4508;RECHERCHE DIRECTE DE TOXOPLASMA PAR  AMPLIFICATION  GENIQUE  DETECTION D'ADN TOXOPLASMIQUE    A PART
5209;EX MICROBIO DE LA SPHERE ORO-RHINO-PHARYNGEE
5210;EX MICROBIO SECRETIONS BRONCHO-PULMONAIRES ET EXPECTORATIONS
5213;PRELEVEMENT OCULAIRE CONJONCTIVITE BACTERIENNE (INFECTION SUPERFICIELLE).  L'EXAMEN COMPREND OUTR
5214;EX MICROBIO PEAU, PHANERES
5215;EX MICROBIO PLAIE, ECOULEMENT PURULENT, TISSU
5216;EX MICROBIO PREL DIVERS : CATHET, CHAMBR IMPLANT, PROTHESE, VALVES
5218;EX MICROBIO P. OCULAIRE (CORNEES, LENTILLES...) ACANTHAMOEBA
5219;EX MICROBIO HEMOCULTURE QUALITATIVE
5221;EX MICROBIO HEMOCULTURE QUANTITATIVE
5222;EX MICROBIO PREL DIVERS : MECHES (PAR SITE), REDON (PAR SITE), STERILET
5223;EX MICROBIO PLACENTA, LOOCHIES
5224;EX MICROBIO PUS (COLLECTION FERMEE)
5225;EX MICROBIO PREL PLURI-ORIFICIELS NOUVEAU-NE
5226;EX MICROBIO P.OCULAIRE PAR OPHTALMO :LESIONS ULCEREUSES
5229;INFECTION NOSOCOMIALE : COTATION SUPPLEMENTAIRE
5230;EX MICROBIO PROD ASPIRATION BRONCHIQUE, BBP ET LBA______________________________
5231;EX MICROBIO DE LIQ DE PONCTION (LCR, ARTICULATION, PERITOINE, ...)
5233;HELICOBACTER PYLORI  TEST RESPIRATOIRE A L'UREE MARQUEE AU  C13.  RECUEIL DES DEUX ECHANTILLONS D'
5234;HELICOBACTER PYLORI : TEST RESPIRATOIRE A L'UREE MARQUEE AU CARBONE 13. ANALYSE DES DEUX ECHANTILL
5235;LEGIONELLA PNEUMOPHILA:RECHERCHE D'ANTIGENE SOLUBLE URINAIRE PAR TECHNIQUE IMMUNO-ENZYMATIQUE
5249;SEROTYPAGE D'UNE ESPECE BACTERIENNE
5253;MYCOPLASMES : CULTURES SUR MILIEUX SPECIAUX,NUMERATION,CARACTERISATION
5257;INFECTIONS A CHLAMYDIA TRACHOMATIS : RECHERCHE D'ADN OU D'ARN DE CHLAMYDIA TRACHOMATIS PAR AMPLIFIC
