EPH_COD;EPH_LIB
S01S;AIDES EN CHIRURGIE OPHTALMOLOGIQUE
S01S1;SUBSTANCES VISCOLELASTIQUES
S01S9;AUTRES AIDES CHIRURGICALES
S01T;AGENTS DE DIAGNOSTIC OPHTALMOLOGIQUE
S01X;AUTRES MEDICAMENTS OPHTALMIQUES
S01X1;AUTRES MEDICAMENTS OPHTALMIQUES SYSTEMIQUES
S01X2;AUTRES MEDICAMENTS OPHTALMIQUES A USAGE TOPIQUE
S02;MEDICAMENTS OTOLOGIQUES
S02A;ANTIINFECTIEUX A USAGE AURICULAIRE
S02B;CORTICOIDES A USAGE AURICULAIRE
S02C;ASSOCIATIONS DE CORTICOIDES ET D'ANTIINFECTIEUX A USAGE AURICULAIRE
S02D;AUTRES MEDICAMENTS A USAGE AURICULAIRE
S02D1;CERUMENOLYTIQUES
S02D9;TOUS AUTRES MEDICAMENTS A USAGE AURICULAIRE
S03;ASSOCIATIONS OPHTALMOLOGIQUE ET OTOLOGIQUE
S03A;ANTIINFECTIEUX OEIL ET OREILLE
S03B;CORTICOIDES OEIL ET OREILLE
S03C;ASSOCIATIONS DE CORTICOIDE ET D'ANTIINFECTIEUX OEIL ET OREILLE
S03D;AUTRES ASSOCIATIONS OEIL/OREILLE
T;PRODUITS DE DIAGNOSTIC
T01;IMAGERIE DIAGNOSTIQUE
T01A;ANGIO-UROGRAPHIE BASSE OSMOLARITE
T01B;ANGIO-UROGRAPHIE IONIQUE
T01C;GASTROENTROGRAPHIE
T01D;CHOLECYSTOGRAPHIE ET CHOLANGIOGRAPHIE
T01E;PRODUITS POUR IRM
T01F;PRODUITS POUR ECHOGRAPHIE
T01G;RADIOPHARMACEUTIQUES A USAGE DIAGNOSTIC
T01X;AUTRES PRODUITS D'IMAGERIE
T02;TESTS DIAGNOSTIQUES
T02C;TESTS DE GROSSESSE ET D'OVULATION
T02D;TESTS DU DIABETE
T02D1;TESTS DU DIABETE, URINAIRES
T02D2;TESTS DU DIABETE, SANGUINS
T02X;TOUS AUTRES TESTS DIAGNOSTIQUES
T02X1;TOUS AUTRES TESTS DIAGNOSTIQUES, URINAIRES
T02X2;TOUS AUTRES TESTS DIAGNOSTIQUES, SANGUINS
T02X9;TOUT AUTRE TEST DIAGNOSTIQUE
T03;EQUIPEMENT ET ACCESSOIRES DE DIAGNOSTIC
T03A;EQUIPEMENT ET ACCESSOIRE DE DIAGNOSTIC
V;DIVERS
V01;ALLERGENES
V01A;ALLERGENE
V03;AUTRES PRODUITS THERAPEUTIQUES
V03B;KANPO ET MEDECINES CHINOISES
V03B1;KANPO
V03B2;MEDECINES CHINOISES
V03C;PRODUITS RADIOPHARMACEUTIQUES
V03D;MEDICAMENTS DETOXIFIANTS DANS UN TRAITEMENT ANTINEOPLASIQUE
V03E;ANTIDOTES
V03F;AGENTS CHELATEURS DU FER
V03G;MEDICAMENTS DE L'HYPERKALIEMIE ET DE L'HYPERPHOSPHATEMIE
V03G1;MEDICAMENTS CONTRE L'HYPERKALIEMIE
V03G2;MEDICAMENTS CONTRE L'HYPERPHOSPHATEMIE
V03H;ENZYMES ANTI-INFLAMMATOIRES
V03X;TOUS AUTRES PRODUITS THERAPEUTIQUES
V05;ANTISEPTIQUES POUR USAGE NON HUMAIN
V05A;ANTISEPTIQUE POUR USAGE NON HUMAIN
V06;PRODUITS DIETETIQUES
V06A;PREPARATIONS AMINCISSANTES
V06B;SUPPLEMENTATION PROTEIQUE
V06C;FORMULES ENFANTS
V06D;AUTRES NUTRIMENTS
V07;AUTRES PRODUITS NON THERAPEUTIQUES
V07A;AUTRE PRODUIT NON THERAPEUTIQUE
X;CLASSE NON DETERMINEE
