NAF_NAF_COD;NAF_COD_LIB;TEC_COL
713C;Location de machines et équipements pour la construction;0
713E;Location de machines de bureau et de matériel informatique;0
6491Z;Crédit-bail;0
6492Z;Distribution de crédit;0
6499Z;Autres intermédiations financières n.c.a.;0
6511Z;Assurance vie et capitalisation;0
6512Z;Autres assurances;0
6520Z;Réassurance;0
6530Z;Caisses de retraite;0
6611Z;Administration de marchés financiers;0
6612Z;Courtage de valeurs mobilières et de marchandises;0
6619A;Supports juridiques de gestion de patrimoine mobilier;0
6619B;Activités des autres auxiliaires financiers n.c.a.;0
6621Z;Évaluation des risques et dommages;0
6622Z;Activités des agents et courtiers d'assurances;0
6629Z;Activités des autres auxiliaires d'assurance;0
6630Z;Gestion de fonds;0
6810Z;Activités des marchands de biens immobiliers;0
6820A;Location de logements;0
6820B;Location de terrains et d'autres biens immobiliers;0
6831Z;Agences immobilières;0
6832A;Administration d'immeubles et autres biens immobiliers;0
6832B;Supports juridiques de gestion de patrimoine immobilier;0
6910Z;Activités juridiques;0
6920Z;Activités comptables;0
7010Z;Activités des sièges sociaux;0
7021Z;Conseil en relations publiques et communication;0
7022Z;Conseil pour les affaires et autres conseils de gestion;0
7111Z;Activités d'architecture;0
7112A;Activité des géomètres;0
7112B;Ingénierie, études techniques;0
7120A;Contrôle technique automobile;0
7120B;Analyses, essais et inspections techniques;0
7211Z;Recherche-développement en biotechnologies;0
7219Z;Recherche-développement en autres sciences physiques et naturelles;0
7220Z;Recherche-développement en sciences humaines et sociales;0
7311Z;Activités des agences de publicité;0
7312Z;Régie publicitaire de médias;0
7320Z;Études de marché et sondages;0
7410Z;Activités spécialisées de design;0
7420Z;Activités photographiques;0
7430Z;Traduction et interprétation;0
7490A;Activité des économistes de la construction;0
7490B;Activités spécialisées, scientifiques et techniques diverses;0
7500Z;Activités vétérinaires;0
7711A;Location de courte durée de voitures et de véhicules automobiles légers;0
7711B;Location de longue durée de voitures et de véhicules automobiles légers;0
7712Z;Location et location-bail de camions;0
7721Z;Location et location-bail d'articles de loisirs et de sport;0
7722Z;Location de vidéocassettes et DVD;0
7729Z;Location et location-bail d'autres biens personnels et domestiques;0
7731Z;Location et location-bail de matériel agricole;0
7732Z;Location et location-bail de machines et équipements pour la construction;0
7733Z;Location et location-bail de machines de bureau et de matériel informatique;0
7734Z;Location et location-bail de matériels de transport par eau;0
7735Z;Location et location-bail de matériels de transport aérien;0
7739Z;Location et location-bail de machines, équipements et biens divers;0
7740Z;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des ½uvres soumises à copyright;0
7810Z;Activités des agences de placement de main-d'½uvre;0
7820Z;Activités des agences de travail temporaire;0
7830Z;Autre mise à disposition de ressources humaines;0
7911Z;Activités des agences de voyage;0
7912Z;Activités des voyagistes;0
7990Z;Autres services de réservation et activités liées;0
8010Z;Activités de sécurité privée;0
8020Z;Activités liées aux systèmes de sécurité;0
8030Z;Activités d'enquête;0
8110Z;Activités combinées de soutien lié aux bâtiments;0
8121Z;Nettoyage courant des bâtiments;0
8122Z;Autres activités de nettoyage des bâtiments et nettoyage industriel;0
8129A;Désinfection, désinsectisation, dératisation;0
8129B;Autres activités de nettoyage;0
8130Z;Services d'aménagement paysager;0
8211Z;Services administratifs combinés de bureau;0
8219Z;Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;0
8220Z;Activités de centres d'appels;0
8230Z;Organisation de salons professionnels et congrès;0
8291Z;Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;0
8292Z;Conditionnement à façon;0
8299Z;Autres activités de soutien aux entreprises n.c.a.;0
8411Z;Administration publique générale;0
8412Z;Tutelle des activités sociales;0
8413Z;Tutelle des activités économiques;0
8421Z;Affaires étrangères;0
8422Z;Défense;0
8423Z;Justice;0
8424Z;Police;0
8425Z;Services du feu et de secours;0
8430A;Activités générales de sécurité sociale;0
8430B;Gestion des retraites complémentaires;0
8430C;Distribution sociale de revenus;0
8510Z;Enseignement préscolaire;0
8520Z;Enseignement primaire;0
8531Z;Enseignement secondaire général;0
8532Z;Enseignement secondaire technique ou professionnel;0
8541Z;Enseignement postsecondaire non tertiaire;0
8542Z;Enseignement tertiaire;0
8551Z;Enseignement de disciplines sportives et d'activités de loisirs;0
8552Z;Enseignement culturel;0
8553Z;Enseignement de la conduite;0
8559A;Formation continue d'adultes;0
8559B;Autres enseignements;0
8560Z;Services de soutien à l'enseignement;0
8610Z;Activités hospitalières;0
8621Z;Pratique médicale généraliste;0
8622A;Activités de radiodiagnostic et de radiothérapie;0
8622B;Activités chirurgicales;0
8622C;Autres activités des médecins spécialistes;0
8623Z;Pratique dentaire;0
8690A;Ambulances;0
8690B;Laboratoires d'analyses médicales;0
8690C;Centres de collecte et banques d'organes;0
8690D;Activité des infirmiers et des sage-femmes;0
8690E;Activité des professionnels de la rééducation, de l¿appareillage et des pédicures-podologues;0
8690F;Activités de santé humaine non classées ailleurs;0
8710A;Hébergement médicalisé pour personnes âgées;0
8710B;Hébergement médicalisés pour enfants handicapés;0
8710C;Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé;0
8720A;Hébergement social pour handicapés mentaux et malades mentaux;0
8720B;Hébergement social pour toxicomanes;0
8730A;Hébergement social pour personnes âgées;0
8730B;Hébergement social pour handicapés  physiques;0
8790A;Hébergement social pour enfants en difficultés;0
8790B;Hébergement social pour adultes et familles en difficultés et autre hébergement social;0
8810A;Aide à domicile;0
8810B;Accueil ou accompagnement sans hébergement d¿adultes handicapés ou de  personnes âgées;0
8810C;Aide par le travail;0
8891A;Accueil de jeunes enfants;0
8891B;Accueil ou accompagnement sans hébergement d¿enfants handicapés;0
8899A;Autre accueil ou accompagnement sans hébergement d¿enfants et d¿adolescents;0
8899B;Action sociale sans hébergement n.c.a.;0
9001Z;Arts du spectacle vivant;0
9002Z;Activités de soutien au spectacle vivant;0
9003A;Création artistique relevant des arts plastiques;0
9003B;Autre création artistique;0
9004Z;Gestion de salles de spectacles;0
9101Z;Gestion des bibliothèques;0
9102Z;Gestion des musées;0
9103Z;Gestion des sites et monuments historiques et des attractions touristiques similaires;0
9104Z;Gestion du patrimoine naturel;0
9200Z;Organisation de jeux de hasard et d'argent;0
9311Z;Gestion d'installations sportives;0
9312Z;Activités de clubs de sports;0
9313Z;Activités des centres de culture physique;0
9319Z;Autres activités liées au sport;0
9321Z;Activités des parcs d'attractions et parcs à thèmes;0
9329Z;Autres activités récréatives et de loisirs n.c.a.;0
9411Z;Activités des organisations patronales et consulaires;0
9412Z;Activités des organisations professionnelles;0
9420Z;Activités des syndicats de salariés;0
9491Z;Activités des organisations religieuses;0
9492Z;Activités des organisations politiques;0
9499Z;Autres organisations fonctionnant par adhésion volontaire;0
9511Z;Réparation d'ordinateurs et d'équipements périphériques;0
9512Z;Réparation d'équipements de communication;0
9521Z;Réparation de produits électroniques grand public;0
9522Z;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;0
9523Z;Réparation de chaussures et d'articles en cuir;0
9524Z;Réparation de meubles et d'équipements du foyer;0
9525Z;Réparation d'articles d'horlogerie et de bijouterie;0
9529Z;Réparation de biens personnels et domestiques n.c.a.;0
9601A;Blanchisserie-teinturerie de gros;0
9601B;Blanchisserie-teinturerie de détail;0
9602A;Coiffure;0
9602B;Soins de beauté;0
9603Z;Services funéraires;0
9604Z;Entretien corporel;0
9609Z;Autres services personnels;0
9700Z;Activités des ménages en tant qu'employeurs de personnel domestique;0
9810Z;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;0
9820Z;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;0
9900Z;Activités extra-territoriales;0
IIIII;VALEUR INCONNUE;1
XXXXX;VALEUR SANS OBJET;2
